run_dir,run,feature,audio_feature,vae_arch,cluster_method,clusters_requested,dbscan_eps,dbscan_min_samples,latent_dim,beta,cond_col,n,n_clusters_eff,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity
hybrid_logmel_agglomerative,vae,hybrid,logmelspec,mlp,agglomerative,6,0.5,5,16,1.0,,152,6,0.0446145795285701,7.353319367646006,2.8642409179835577,-0.0012325027350773,0.0172287242010754,0.5592105263157895
hybrid_logmel_agglomerative,vae,hybrid,logmelspec,mlp,agglomerative,6,0.5,5,16,1.0,,152,6,0.0446145795285701,7.353319367646006,2.8642409179835577,-0.0012325027350773,0.0172287242010754,0.5592105263157895
hybrid_logmel_agglomerative,vae,hybrid,logmelspec,mlp,agglomerative,6,0.5,5,16,1.0,,152,6,0.0373096019029617,6.217377618912919,3.03751763277682,0.0004145317701548,0.0147691994642531,0.5789473684210527
hybrid_logmel_dbscan,vae,hybrid,logmelspec,mlp,dbscan,6,0.5,2,16,1.0,,152,0,,,,0.0,0.0,
hybrid_logmel_dbscan,vae,hybrid,logmelspec,mlp,dbscan,6,0.5,2,16,1.0,,152,9,0.1427312642335891,3.6778530846611472,1.2973291750059783,-0.0048093800431434,0.0236254521710418,0.5882352941176471
hybrid_logmel_dbscan,vae,hybrid,logmelspec,mlp,dbscan,6,0.5,2,16,1.0,,152,11,0.1493669897317886,3.3268725732951694,1.300221043939726,-0.003522811298309,0.0351280695770786,0.6363636363636364
hybrid_logmel_kmeans,vae,hybrid,logmelspec,mlp,kmeans,6,0.5,5,16,1.0,,152,6,0.0576695762574672,7.7436620293933665,2.328100382423006,0.0194079675962296,0.037086233630359,0.618421052631579
hybrid_logmel_kmeans,vae,hybrid,logmelspec,mlp,kmeans,6,0.5,5,16,1.0,,152,6,0.0576695762574672,7.7436620293933665,2.328100382423006,0.0194079675962296,0.037086233630359,0.618421052631579
hybrid_logmel_kmeans,vae,hybrid,logmelspec,mlp,kmeans,6,0.5,5,16,1.0,,152,6,0.0483228266239166,6.826424946945678,2.503752294274975,0.0072235487567605,0.027020059042593,0.5855263157894737
baseline_ae_kmeans_logmel,ae,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.4504410624504089,291.2477492324752,0.8198530337954427,0.0144327422520801,0.0223665774110695,0.6052631578947368
baseline_ae_kmeans_logmel,ae,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.4504410624504089,291.2477492324752,0.8198530337954427,0.0144327422520801,0.0223665774110695,0.6052631578947368
baseline_ae_kmeans_logmel,ae,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.2429051399230957,60.28466288235148,1.1743212807884296,0.0894111390048668,0.1240405045138659,0.756578947368421
baseline_pca_kmeans_logmel,pca,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.159644529223442,28.19461909291463,1.554694224325355,0.0537059654493601,0.0830912597637305,0.6776315789473685
baseline_pca_kmeans_logmel,pca,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.159644529223442,28.19461909291463,1.554694224325355,0.0537059654493601,0.0830912597637305,0.6776315789473685
baseline_pca_kmeans_logmel,pca,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.159644529223442,28.19461909291463,1.554694224325355,0.0537059654493601,0.0830912597637305,0.6776315789473685
baseline_raw_kmeans_logmel,raw,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.0934834033250808,19.53091290880669,2.194780775189217,0.0358200072953941,0.0783222380391271,0.6842105263157895
baseline_raw_kmeans_logmel,raw,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.0934834033250808,19.53091290880669,2.194780775189217,0.0358200072953941,0.0783222380391271,0.6842105263157895
baseline_raw_kmeans_logmel,raw,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.0934834033250808,19.53091290880669,2.194780775189217,0.0358200072953941,0.0783222380391271,0.6842105263157895
baseline_spectral_raw_logmel,raw,logmelspec,mfcc,conv2d,spectral,6,0.5,5,16,1.0,,152,6,0.0897675976157188,19.129104945662466,2.2170992868004644,0.0500401228569375,0.075657302010754,0.6907894736842105
baseline_spectral_raw_logmel,raw,logmelspec,mfcc,conv2d,spectral,6,0.5,5,16,1.0,,152,6,0.0897675976157188,19.129104945662466,2.2170992868004644,0.0500401228569375,0.075657302010754,0.6907894736842105
baseline_spectral_raw_logmel,raw,logmelspec,mfcc,conv2d,spectral,6,0.5,5,16,1.0,,152,6,0.0897675976157188,19.129104945662466,2.2170992868004644,0.0500401228569375,0.075657302010754,0.6907894736842105
convvae_logmel_agglomerative,vae,logmelspec,mfcc,conv2d,agglomerative,6,0.5,5,16,1.0,,152,6,0.0364452190697193,7.073181725444564,2.762746087266574,-0.0044864373895256,0.0084251867823691,0.5657894736842105
convvae_logmel_agglomerative,vae,logmelspec,mfcc,conv2d,agglomerative,6,0.5,5,16,1.0,,152,6,0.0364452190697193,7.073181725444564,2.762746087266574,-0.0044864373895256,0.0084251867823691,0.5657894736842105
convvae_logmel_agglomerative,vae,logmelspec,mfcc,conv2d,agglomerative,6,0.5,5,16,1.0,,152,6,0.0457735285162925,7.0174682008795966,2.9726653528143125,0.0023439914122614,0.021758942116559,0.5855263157894737
convvae_logmel_dbscan,vae,logmelspec,mfcc,conv2d,dbscan,6,0.5,2,16,1.0,,152,0,,,,0.0,0.0,
convvae_logmel_dbscan,vae,logmelspec,mfcc,conv2d,dbscan,6,0.5,2,16,1.0,,152,10,0.1579413563013076,3.6864226687749615,1.3016344622891474,-0.0018596582968896,0.069764713464895,0.7647058823529411
convvae_logmel_dbscan,vae,logmelspec,mfcc,conv2d,dbscan,6,0.5,2,16,1.0,,152,8,0.1399626284837722,4.091722454967952,1.2477771653683156,0.0013168200964952,0.058585683796096,0.6875
convvae_logmel_kmeans,vae,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.0505297258496284,7.371985759125457,2.760831961276294,-0.0043391047789512,0.0100317710528781,0.5657894736842105
convvae_logmel_kmeans,vae,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.0505297258496284,7.371985759125457,2.760831961276294,-0.0043391047789512,0.0100317710528781,0.5657894736842105
convvae_logmel_kmeans,vae,logmelspec,mfcc,conv2d,kmeans,6,0.5,5,16,1.0,,152,6,0.0461265593767166,6.750150689087792,2.867503130121729,-0.0004015368842529,0.0130017675785734,0.5723684210526315
